what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185858000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185858093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185938843
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1372185943843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185965906
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1372185966187
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1372185966187
opened,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1372185971390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185971625
executed,command,,,"org.eclipse.wst.server.launchShortcut.profile",1372185971921
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1372185972265
error,log,,,"Error starting server Tomcat v5.5 Server at localhost",1372185973000
error,log,,,"Could not launch in profiling mode because no profilers are configured.",1372185973000
error,log,,,"Unhandled event loop exception",1372185974812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185988156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372185988218
stopped,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1372185992640
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1372185992640
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1372185997640
error,log,,,"Unhandled event loop exception",1372186001859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372186006015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372186006046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372186010453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372186010484
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372186010500
